srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,192.168.10.1,*,17,67,*,1400,*,*,2052,6
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,192.168.10.1,17,*,67,1400,*,*,3540,6
68:ff:7b:df:58:4d,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,420,7
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,1.1.1.1,17,*,53,1001,*,*,559,7
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,*,*,1,*,*,1000,*,*,0,0
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,*,1,*,*,1000,*,*,0,0
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,*,*,17,123,*,1000,*,*,90,1
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,*,17,*,123,1000,*,*,90,1
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,*,*,*,*,17,53,*,1000,*,*,1214,8
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,*,*,*,*,17,*,53,1000,*,*,72,1
*,68:ff:7b:df:58:4d,0x0806,*,*,*,*,*,*,1000,*,*,1218,29
68:ff:7b:df:58:4d,*,0x0806,*,*,*,*,*,*,1000,*,*,1380,23
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,1687,15
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,1686,15
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,5300,49
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,16119,145
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,1686,15
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,*,17,*,*,800,*,*,0,0
68:ff:7b:df:58:4d,08:00:27:e7:f3:5c,0x0800,*,*,*,6,*,*,800,*,*,1200,13
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,7452,11
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,7451,11
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,25398,36
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,68865,99
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,7451,11
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,*,*,17,*,*,700,*,*,0,0
08:00:27:e7:f3:5c,68:ff:7b:df:58:4d,0x0800,*,*,*,6,*,*,700,*,*,863,8
68:ff:7b:df:58:4d,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,68:ff:7b:df:58:4d,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,68:ff:7b:df:58:4d,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,68:ff:7b:df:58:4d,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,68:ff:7b:df:58:4d,0x0800,*,*,*,6,*,*,600,*,*,0,0
